原作,子母沢寛,Original Work,Shimozawa Kan
企画/脚本,浅井昭三郎,Planning/Screenplay,Asai Shôzaburô
,,,
撮影,本多省三,Photography,Honda Shôzô
録音,長岡栄,Recording,Nagaoka Sakae
照明,加藤博也,Lighting,Katô Hiroya
美術,加藤茂,Art,Katô Shigeru
音楽,小杉太一郎,Music,Kosugi Taichirô
,,,
編集,山田弘,Editing,Yamada Hiroshi
装置,木村重雄,Apparatus,Kimura Shigeo
擬斗,宮内昌平,Action,Miyauchi Shôhei
音響効果,倉嶋暢,Sound Effects,Kurashima Tôru
助監督,渡辺実,Assistant Director,Watanabe Minoru
製作主任,今村喬,Production Manager,Imamura Takashi
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,,,
,高田美和,,Takada Miwa
,滝瑛子,,Taki Eiko
,,,
,平幹二朗,,Hira Mikijirô
,河野秋武,,Kôno Akitake
,伊井友三郎,,Ii Tomosaburô
,水原浩一,,Mizuhara Kôichi
,上田吉二郎,,Ueda Kichijirô
,,,
,千波丈太郎,,Senba Jôtarô
,富田仲次郎,,Tomita Nakajirô
,毛利郁子,,Môri Ikuko
,寺島雄作,,Terashima Yûsaku
,中田ダイマル,,Nakata Daimaru
,中田ラケット,,Nakata Raketto
,,,
,木村玄,,Kimura Gen
,沖時男,,Oki Tokio
,越川一,,Koshikawa Ichi
,石原須磨男,,Ishihara Sumao
,千石泰三,,Sengoku Taizô
,竹谷俊彦,,Takeya Toshihiko
,大井由貴子,,Ôi Yukiko
,近江輝子,,Ômi Teruko
,,,
,愛原光一,,Aihara Kôichi
,志賀明,,Shiga Akira
,大林一夫,,Ôbayashi Kazuo
,松浦豊,,Matsuura Yutaka
,二宮秀樹,,Ninomiya Hideki
,中野智永子,,Nakano Chieko
,三木本賀代,,Mikimoto Kayo
,谷口和子,,Taniguchi Kazuko
,,,
監督,安田公義,Director,Yasuda Kimiyoshi