製作,円谷一,Producer,Tsuburaya Hajime
,,,
脚本,千束北男,Screenplay,Senzoku Kitao
音楽,冬木透,Music,Fuyuki Tôru
,,,
撮影,稲垣涌三,Photography,Inagaki Yôzô
美術,池谷仙克,Art,Ikeya Senkatsu
照明,新井盛,Lighting,Arai Mori
録音,東京映画映像部,Recording,Tokyo Film and Video Department
整音,西尾昇,Dubbing,Nishio Noboru
,,,
光学撮影,宮重道久,Optical Photography,Miyashige Michihisa
,茂田幸男,,Shigeta Yukio
,中村司,,Nakamura Tsukasa
,吉田和広,,Yoshida Kazuhiro
,木村金男,,Kimura Kaneo
,鯨井実,,Kujirai Minoru
,兵頭文造,,Hyôdô Bunzô
,,,
監督助手,山本正孝,Assistant Director,Yamamoto Masataka
編集,白江隆夫,Editing,Shirae Takao
視覚効果,飯塚定雄,Visual Effects,Îzuka Sadao
現像所,東京現像所,Photo Lab,Tokyo Laboratory
製作担当者,笠井一美,Production Manager,Kasai Kazumi
,,,
出演者,,Performers,
,,,
,三波伸介,,Minami Shinsuke
,,,
,小坂一也,,Kosaka Kazuya
,小林昭二,,Kobayashi Akiji
,三角八朗,,Misumi Hachirô
,,,
,浜村純,,Hamamura Jun
,砂塚秀夫,,Sunazuka Hideo
,小松政夫,,Komatsu Masao
,,,
,人見きよし,,Hitomi Kiyoshi
,天地総子,,Amachi Fusako
,瞳麗子,,Hitomi Reiko
,,,
,田坂都,,Tasaka Miyako
,田代千鶴子,,Tashiro Chizuko
,若宮大祐,,Wakamiya Daisuke
,今村源兵,,Imamura Genpei
,,,
,佐々木久男,,Sasaki Hisao
,辻しげる,,Tsuji Shigeru
,伊海田弘,,Ikaida Hiroshi
,山寺勉,,Yamadera Tsutomu
,石山克己,,Ishiyama Katsumi
,,,
,矢崎友紀,,Yazaki Yuki
,村田宏一,,Murata Kôichi
,簾内滋之,,Sunouchi Shigeyuki
,スタンリー・イルマティ,,Stanley Ilmati
,河井京子,,Kawai Kyôko
,伊東享子,,Itô Kyôko
,,,
,犬塚弘,,Inuzuka Hiroshi
,,,
ダイゴロウ,山村哲夫,Daigoro,Yamamura Tetsuo
ゴリアス,加藤寿,Goliath,Katô Hisashi
,,,
特殊技術,大木淳,Special Technology,Ôki Jun
,中野稔,,Nakano Minoru
,,,
監督,飯島敏宏,Director,Îjima Toshihiro