企画,斉藤米二郎,Planning,Saitô Yonejirô
脚本,高橋二三,Screenplay,Takahashi Nisan
,,,
撮影,宗川信夫,Photography,Munekawa Nobuo
録音,渡辺利一,Recording,Watanabe Toshikazu
照明,伊藤幸夫,Lighting,Itô Yukio
美術,井上章,Art,Inoue Akira
,,,
音楽,山内正,Music,Yamanouchi Tadashi
編集,中静達治,Editing,Nakashizuka Tatsuji
助監督,阿部志馬,Assistant Director,Abe Shima
製作主任,上嶋博明,Production Manager,Ueshima Hiroaki
,,,
特殊撮影,築地米三郎,Special Photography,Tsukiji Yonesaburô
特撮美術,井上章,Special Effects Art,Inoue Akira
合成,藤井和文,Composition,Fujii Kazufumi
照明,石坂守,Lighting,Ishizaka Mamoru
助監督,石田潔,Assistant Director,Ishida Kiyoshi
製作主任,川村清,Production Manager,Kawamura Kiyoshi
,,,
出演者,,Performers,
,,,
,船越英二,,Funakoshi Eiji
,山下洵一郎,,Yamashita Jun’ichirô
,姿美千子,,Sugata Michiko
,霧立はるみ,,Kiritachi Harumi
,,,
,北原義郎,,Kitahara Yoshirô
,左卜全,,Hidari Bokuzen
,浜村純,,Hamamura Jun
,北城寿太郎,,Hôjô Jutarô
,吉田義夫,,Yoshida Yoshio
,大山健二,,Ôyama Kenji
,小山内淳,,Osanai Jun
,藤山浩二,,Fujiyama Kôji
,大橋一元,,Ôhashi Ichigen
,,,
,髙田宗彦,,Takada Munehiko
,谷謙一,,Tani Ken’ichi
,中田勉,,Nakata Tsutomu
,森矢雄二,,Moriya Yûji
,丸山修,,Maruyama Osamu
,内田喜郎（ひまわり）,,Uchida Yoshirô (Himawari)
,槙俊夫,,Maki Toshio
,隅田一男,,Sumida Kazuo
,杉森麟,,Sugimori Rin
,村田扶美子,,Murata Fumiko
,,,
,竹内哲郎,,Takeuchi Tetsurô
,志保京助,,Shiho Kyôsuke
,中原健,,Nakahara Ken
,森一夫,,Mori Kazuo
,佐山真次,,Sayama Shinji
,喜多大八,,Kita Daihachi
,大庭健二,,Ôba Kenji
,荒木康夫,,Araki Yasuo
,井上大吾,,Inoue Daigo
,三夏伸,,Minatsu Shin
,,,
,清水昭,,Shimizu Akira
,松山新一,,Matsuyama Shin’ichi
,岡郁二,,Oka Ikuji
,藤井竜史,,Fujii Ryûji
,山根圭一郎,,Yamane Keiichirô
,村松若代,,Muramatsu Wakashiro
,甲千鶴,,Kinoe Chizuru
,沖良子,,Oki Ryôko
,,,
,後藤武彦,,Gotô Takehiko
,加川東一郎,,Kagawa Tôichirô
,伊勢一郎,,Ise Ichirô
,佐原新治,,Sahara Shinji
,宗近一,,Munechika Hajime
,劇団ひまわり,,Himawari Theater Company
,Ｍ・アパナイ,,M. Apanai
,リッチャードソン,,Richardson
,ストレイハン,,Streihan
,ランソン,,Ranson
,ブラウン,,Brown
,ハートマン,,Hartman
,,,
監督,湯浅憲明,Director,Yuasa Noriaki