企画,岡田茂,Planning,Okada Shigeru
,新海竹介,,Shinkai Takesuke
脚本,伊上勝,Screenplay,Inoue Masaru
,,,
撮影,わし尾元也,Photography,Washio Motoya
照明,長谷川武夫,Lighting,Hasegawa Takeo
録音,荒川輝彦,Recording,Arakawa Teruhiko
美術,矢田精治,Art,Yada Seiji
音楽,津島利章,Music,Tsushima Toshiaki
編集,神田忠男,Editing,Kanda Tadao
,,,
助監督,牧口雄二,Assistant Director,Makiguchi Yûji
記録,矢部はつ子,Script Supervisor,Yabe Hatsuko
装置,米沢勝,Apparatus,Yonezawa Masaru
装飾,山田久司,Decoration,Yamada Hisashi
美粧,堤野正直,Makeup,Tsutsumino Shôjiki
結髪,橋本明子,Hairdressing,Hashimoto Akiko
衣裳,三上剛,Costumes,Mikami Tsuyoshi
擬斗,上野隆三,Action,Ueno Ryûzô
合成,松木春吉,Composition,Matsuki Haruyoshi
進行主任,並河正夫,Progression Manager,Namikawa Masao
,,,
特殊撮影,,Special Photography,
撮影,赤塚滋,Photography,Akatsuka Shigeru
,国定玖仁男,,Kunisada Kunio
照明,金子凱美,Lighting,Kaneko Katsumi
助監督,俵坂昭康,Assistant Director,Tawarazaka Akiyasu
記録,塚越恵江,Script Supervisor,Tsukakoshi Megumi
主題歌,朝日ソノラマ,Theme Song,Asahi Sonorama
作詞,伊上勝,Lyrics,Inoue Masaru
作曲,津島利章,Composition,Tsushima Toshiaki
,,,
出演者,,Performers,
,,,
,松方弘樹,,Matsukata Hiroki
,,,
,小川知子,,Ogawa Tomoko
,鈴村由美,,Suzumura Yumi
,,,
,金子信雄,,Kaneko Nobuo
,林真一郎,,Hayashi Shin’ichirô
,天津敏,,Amatsu Bin
,,,
,柿本健二,,Kakimoto Kenji
,小田部通麿,,Otabe Michimaro
,原泉,,Hara Izumi
,国一太郎,,Kuni Ichitarô
,原健策,,Hara Kensaku
,,,
,河村満和,,Katamura Mitsukazu
,千葉敏郎,,Chiba Toshio
,池田謙治,,Ikeda Kenji
,岡田千代,,Okada Chiyo
,矢部義明,,Yabe Yoshiaki
,岩尾正隆,,Iwao Masataka
,宍戸大全,,Shishido Taizen
,,,
,木谷邦臣,,Kitani Kuniomi
,福本清三,,Fukumoto Seizô
,出口静広,,Deguchi Shizuhiro
,小林成行,,Kobayashi Nariyuki
,森本隆,,Morimoto Takashi
,近松克樹,,Chikamatsu Katsuki
,大矢正利,,Ôya Masatoshi
,,,
,大友柳太朗,,Ôtomo Ryûtarô
,,,
監督,山内鉄也,Director,Yamauchi Tetsuya