製作,箕浦甚吾,Producer,Minoura Jingo
企画,本木荘二郎,Planning,Motoki Sôjirô
,,,
原作,芥川龍之介,Original Work,Akutagawa Ryûnosuke
脚本,黒澤明,Screenplay,Kurosawa Akira
,橋本忍,,Hashimoto Shinobu
,,,
撮影,宮川一夫,Photography,Miyagawa Kazuo
録音,大谷巌,Recording,Ôtani Iwao
美術,松山崇,Art,Matsuyama Takashi
音楽,早坂文雄,Music,Hayasaka Fumio
,,,
照明,岡本健一,Lighting,Okamoto Ken’ichi
編集,西田重雄,Editing,Nishida Shigeo
装置,山本卯一郎,Apparatus,Yamamoto Uichirô
製作主任,小林利勝,Production Manager,Kobayashi Toshikatsu
,,,
助監督,加藤泰,Assistant Director,Katô Yasushi
撮影助手,本田平三,Photography Assistant,Honda Heizô
録音助手,林土太郎,Recording Assistant,Hayashi Tsuchitarô
照明助手,中岡源,Lighting Assistant,Nakaoka Gen
美術助手,右田誠一,Art Assistant,Migita Seiichi
記録,野上照代,Script Supervisor,Nogami Teruyo
演技事務,中村元次郎,Actor Affairs,Nakamura Motojirô
進行,竹内次郎,Progression,Takeuchi Jirô
,,,
背景,太田多三郎,Scenery,Ôta Tasaburô
装飾,松本春造,Decoration,Matsumoto Haruzô
美粧,明石悦夫,Makeup,Akashi Etsuo
結髪,花井りつ,Hairdressing,Hanai Ritsu
衣索,大畠卯一,Clothing,Ôhata Uichi
スチール,浅田延之助,Still Photography,Asada Nobunosuke
効果,山根正一,Effects,Yamane Shôichi
擬闘,宮内昌平,Fight Choreography,Miyauchi Shôhei
,,,
出演者,,Performers,
,,,
,三船敏郎,,Mifune Toshirô
,京マチ子,,Kyô Machiko
,志村喬,,Shimura Takashi
,森雅之,,Mori Masayuki
,,,
,千秋実,,Chiaki Minoru
,上田吉二郎,,Ueda Kichijirô
,本間文子,,Honma Noriko
,加東大介,,Katô Daisuke
,,,
監督,黒澤明,Director,Kurosawa Akira