製作,滝村和男,Producer,Takimura Kazuo
,,,
原作,吉川英治,Original Work,Yoshikawa Eiji
,,,
劇化,北條秀司,Dramatization,Hôjô Hideji
脚本,若尾徳平,Screenplay,Wakao Tokuhei
,稲垣浩,,Inagaki Hiroshi
,,,
撮影,安本淳,Photography,Yasumoto Jun
美術監督,伊藤熹朔,Art Director,Itô Kisaku
美術,園真,Art,Sono Makoto
録音,三上長七郎,Recording,Mikami Chôshichirô
照明,森茂,Lighting,Mori Shigeru
,,,
音楽,團伊玖磨,Music,Dan Ikuma
按舞,吾妻徳穂,Dancing,Azuma Tokuho
剣道指導,杉野嘉男,Kendo Instruction,Sugino Yoshio
,,,
監督助手,福田純,Assistant Director,Fukuda Jun
編集,大井英史,Editing,Ôi Hidefumi
現像,東洋現像所,Developing,Toyo Laboratory
製作担当者,森本朴,Production Manager,Morimoto Paku
,,,
出演者,,Performers,
,,,
宮本武蔵,三船敏郎,Miyamoto Musashi,Mifune Toshirô
佐々木小次郎,鶴田浩二,Sasaki Kojirô,Tsuruta Kôji
,,,
朱実,岡田茉莉子,Akemi,Okada Mariko
お通,八千草薫,Otsû,Yachigusa Kaoru
吉野太夫,木暮実千代,Yoshino Dayû,Kogure Michiyo
,,,
お甲,水戸光子,Okô,Mito Mitsuko
吉岡清十郎,平田昭彦,Yoshioka Seijûrô,Hirata Akihiko
祇園藤次,加東大介,Gion Tôji,Katô Daisuke
宗彭沢庵,尾上九朗右衛門,Sôhô Takuan,Onoue Kurouemon
,,,
本位田又八,堺左千夫,Honiden Matahachi,Sakai Sachio
吉岡伝七郎,藤木悠,Yoshioka Denshichirô,Fujiki Yû
小菩薩太夫,北川町子,Kobosatsu Tayû,Kitagawa Machiko
お杉,三好栄子,Osugi,Miyoshi Eiko
宍戸梅軒,東野英治郎,Shishido Baiken,Tôno Eijirô
,,,
城太郎,飯田健人,Jôtarô,Îda Kento
権六,谷晃,Gonroku,Tani Akira
本阿弥光悦,御橋公,Hon’ami Kôetsu,Mihashi Kô
老僧日観,高堂國典,Nitsukan Monk,Kôdô Kuninori
禿りん弥,近藤圭子,Hagerin Wataru,Kondô Keiko
妙秀尼,滝花久子,Myôshûni,Takihana Hisako
,,,
,田島義文,,Tajima Yoshibumi
,山本廉,,Yamamoto Ren
,西條悦郎,,Saijô Etsurô
,久世竜,,Kuze Ryû
,鉄一郎,,Tetsu Ichirô
,浜田寅彦,,Hamada Torahiko
,稲葉義男,,Inaba Yoshio
,,,
,桜井巨郎,,Sakurai Girô
,松尾文人,,Matsuo Fumindo
,伊藤実,,Itô Minoru
,堤康久,,Tsutsumi Yasuhisa
,岩本弘司,,Iwamoto Kôji
,今泉廉,,Imaizumi Ren
,緒方燐作,,Ogata Rinsaku
,牧壮吉,,Maki Sôkichi
,田武謙三,,Tabu Kenzô
,,,
監督,稲垣浩,Director,Inagaki Hiroshi