製作,藤本真澄,Producer,Fujimoto Sanezumi
,田中友幸,,Tanaka Tomoyuki
,,,
脚本,八住利雄,Screenplay,Yasumi Toshio
,菊島隆三,,Kikushima Ryûzô
,,,
美術監督,伊藤熹朔,Art Director,Itô Kisaku
撮影,山田一夫,Photography,Yamada Kazuo
音楽,伊福部昭,Music,Ifukube Akira
,,,
美術,植田寛,Art,Ueda Hiroshi
録音,西川善男,Recording,Nishikawa Yoshio
,下永尚,,Shimonaga Hisashi
照明,小島正七,Lighting,Kojima Shôshichi
,,,
監督助手,丸輝夫,Assistant Director,Maru Teruo
編集,平一二,Editing,Taira Kazuji
現像,東京現像所,Developing,Tokyo Laboratory
製作担当者,川上勝太郎,Production Manager,Kawakami Katsutarô
,,,
特殊技術,,Special Technology,
光学撮影,荒木秀三郎,Optical Photography,Araki Hidesaburô
撮影,有川貞昌,Photography,Arikawa Sadamasa
美術,渡辺明,Art,Watanabe Akira
照明,岸田九一郎,Lighting,Kishida Kuichirô
作画合成,向山宏,Drawing Composition,Mukôyama Hiroshi
,,,
出演者,,Performers
,,,
,三船敏郎,,Mifune Toshirô,Prince Ousu/Susano-o
,,,
,司葉子,,Tsukasa Yôko,Oto Tachibana
,水野久美,,Mizuno Kumi,Azami
,上原美佐,,Uehara Misa,Kushinada
,香川京子,,Kagawa Kyôko,Princess Miyazu
,,,
,田中絹代,,Tanaka Kinuyo,Princess Yamato
,乙羽信子,,Otowa Nobuko,Dancing Goddess
,杉村春子,,Sugimura Haruko,Storyteller
,久保明,,Kubo Akira,Prince Ioki
,宝田明,,Takarada Akira,Prince Wakatarashi
,,,
,中村鴈治郎（大映）,,Nakamura Ganjirô (Daiei),Emperor Keiko
,東野英治郎,,Tôno Eijirô,Otomo
,平田昭彦,,Hirata Akihiko,Takehiko
,三島耕,,Mishima Kô,Yakumo
,伊藤久哉,,Itô Hisaya,Kodate Otomo
,田崎潤,,Tazaki Jun,Kurohiko
,志村喬,,Shimura Takashi,Elder Kumaso
,,,
,上田吉二郎,,Ueda Kichijirô,Hachihara
,小杉義男,,Kosugi Yoshio,Inaba
,野村浩三,,Nomura Kôzô,Makeri Otomo
,藤木悠,,Fujiki Yû,Okabi
,環三千世,,Tamaki Michiyo
,村松恵子,,Muramatsu Keiko,Izanami
,村田嘉久子,,Murata Kakuko,Okabi’s Mother
,中北千枝子,,Nakakita Chieko,Tenazuchi
,,,
,左卜全,,Hidari Bokuzen,Deity
,山田巳之助,,Yamada Minosuke,Okuri
,瀬良明,,Sera Akira,Anazuchi
,伊豆肇,,Izu Hajime,Prince Oji
,田島義文,,Tajima Yoshibumi,Deity
,村上冬樹,,Murakami Fuyuki,Deity
,谷晃,,Tani Akira,Deity
,向井淳一郎,,Mukai Jun’ichirô,Moroto
,沢村いき雄,,Sawamura Ikio,Lecherous Deity
,,,
,大村千吉,,Ômura Senkichi,Yamato Villager
,佐田豊,,Sada Yutaka,Yamato Villager
,久世竜,,Kuze Ryû,Yamato Soldier
,桜井巨郎,,Sakurai Girô,Yamato Soldier
,津田光男,,Tsuda Mitsuo,Yamato Soldier
,桐野洋雄,,Kirino Nadao,Yamato Soldier
,大友伸,,Ôtomo Shin,Otomo Soldier
,手塚勝巳,,Tezuka Katsumi,Otomo Soldier
,長島正芳,,Nagashima Masayoshi
,広瀬正一,,Hirose Shôichi,Kumaso Soldier
,土屋詩朗,,Tsuchiya Shirô,Yamato Soldier
,松尾文人,,Matsuo Fumindo,Yamato Villager
,,,
,堤康久,,Tsutsumi Yasuhisa,Yamato Soldier
,増田正雄,,Masuda Masao
,熊谷二良,,Kumagai Jirô,Yamato Villager
,岡部正,,Okabe Tadashi
,上村幸之,,Uemura Yoshiyuki
,重信安宏,,Shigenobu Yasuhiro
,坂本晴哉,,Sakamoto Haruya,Yamato Soldier
,緒方燐作,,Ogata Rinsaku,Yamato Soldier
,秋元泉,,Akimoto Izumi
,山口博義,,Yamaguchi Hiroyoshi
,北野明,,Kitano Akira
,山田彰,,Yamada Akira
,,,
,脇田博行,,Wakita Hiroyuki,Izanagi
,天本英世,,Amamoto Hideyo,Deity
,岩本弘司,,Iwamoto Kôji
,家田佳子,,Ieda Yoshiko
,岸田翠,,Kishida Midori
,河美智子,,Kawa Michiko
,飛鳥みさ子,,Asuka Misako
,樋口年子,,Higuchi Toshiko
,三田照子,,Mita Teruko
,上野明美,,Ueno Akemi
振付,猿若清方,Choreography,Saruwaka Kiyokata
,,,
,小林桂樹,,Kobayashi Keiju,Amatsumara
,加東大介,,Katô Daisuke,Futodama
,三木のり平,,Miki Norihei,Koyane
,有島一郎,,Arishima Ichirô,Ridouri
,柳家金語楼,,Yanagiya Kingorô,Omoikane
,榎本健一,,Enomoto Ken’ichi,Tamaso
,朝汐太郎,,Asahi Tarô,Tajikarao
,,,
,鶴田浩二,,Tsuruta Kôji,Younger Kumaso
,原節子,,Hara Setsuko,Amaterasu
,,,
特技監督,円谷英二,Special Effects Director,Tsuburaya Eiji,
,,,
監督,稲垣浩,Director,Inagaki Hiroshi,