製作,黒澤明,Producer,Kurosawa Akira
,本木荘二郎,,Motoki Sôjirô
,,,
脚本,小国英雄,Screenplay,Oguni Hideo
,橋本忍,,Hashimoto Shinobu
,菊島隆三,,Kikushima Ryûzô
,黒澤明,,Kurosawa Akira
,,,
撮影,中井朝一,Photography,Nakai Asakazu
美術,村木与四郎,Art,Muraki Yoshirô
録音,矢野口文雄,Recording,Yanoguchi Fumio
照明,岸田九一郎,Lighting,Kishida Kuichirô
美術監修,江崎孝坪,Art Supervisor,Ezaki Kôhei
,,,
音楽,佐藤勝,Music,Satô Masaru
監督助手,野長瀬三摩地,Assistant Director,Nonagase Samaji
特殊技術,東宝技術部,Special Technology,Toho Engineering Department
製作担当者,根津博,Production Manager,Nezu Hiroshi
,,,
出演者,,Performers,
,,,
,三船敏郎,,Mifune Toshirô
,山田五十鈴,,Yamada Isuzu
,,,
,志村喬,,Shimura Takashi
,久保明,,Kubo Akira
,太刀川洋一,,Tachikawa Yôichi
,千秋実,,Chiaki Minoru
,,,
,佐々木孝丸,,Sasaki Takamaru
,清水元,,Shimizu Gen
,高堂國典,,Kôdô Kuninori
,上田吉二郎,,Ueda Kichijirô
,三好栄子,,Miyoshi Eiko
,浪花千栄子,,Naniwa Chieko
,,,
,富田仲次郎,,Tomita Nakajirô
,藤木悠,,Fujiki Yû
,堺左千夫,,Sakai Sachio
,大友伸,,Ôtomo Shin
,土屋嘉男,,Tsuchiya Yoshio
,稲葉義男,,Inaba Yoshio
,,,
,笈川武夫,,Oikawa Takeo
,谷晃,,Tani Akira
,沢村いき雄,,Sawamura Ikio
,佐田豊,,Sada Yutaka
,恩田清二郎,,Onda Seijirô
,高木新平,,Takagi Shinpei
,,,
,増田正雄,,Masuda Masao
,浅野光男 (東映),,Asano Mitsuo (Toei)
,井上昭文,,Inoue Shôbun
,小池朝雄,,Koike Asao
,加藤武,,Katô Takeshi
,高木均,,Takagi Hitoshi
,樋口迪也,,Higuchi Michiya
,,,
,大村千吉,,Ômura Senkichi
,桜井巨郎,,Sakurai Girô
,土屋詩朗,,Tsuchiya Shirô
,松下猛夫,,Matsushita Takeo
,大友純,,Ôtomo Jun
,坪野鎌之,,Tsubono Kamayuki
,大橋史典,,Ôhashi Fuminori
,,,
特別出演,木村功,Special Appearance,Kimura Isao
,宮口精二,,Miyaguchi Seiji
,中村伸郎,,Nakamura Nobuo
流鏑馬指導,金子家教（大日本弓馬会範士）,Horsemanship Instruction,Kaneko Kakyô (Dainippon Horse Parliament)
,遠藤茂（大日本弓馬会教士）,,Endô Shigeru (Dainippon Horse Parliament)
,,,
監督,黒澤明,Director,Kurosawa Akira