企画,浅井昭三郎,Planning,Asai Shôzaburô
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,浅井昭三郎,Screenplay,Asai Shôzaburô
,太田昭和,,Ôta Akikazu
,,,
撮影,宮川一夫,Photography,Miyagawa Kazuo
録音,大谷巌,Recording,Ôtani Iwao
照明,中岡源権,Lighting,Nakaoka Gengon
美術,西岡善信,Art,Nishioka Yoshinobu
音楽,斎藤一郎,Music,Saitô Ichirô
,,,
編集,谷口孝司,Editing,Taniguchi Takashi
装置,木村重雄,Apparatus,Kimura Shigeo
擬斗,宮内昌平,Action,Miyauchi Shôhei
音響効果,倉嶋暢,Sound Effects,Kurashima Tôru
助監督,井上昭,Assistant Director,Inoue Akira
製作主任,小沢宏,Production Manager,Ozawa Hiroshi
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,,,
,島田正吾（新国劇）,,Shimada Shôgo (New National Theater)
,坪内ミキ子,,Tsubouchi Mikiko
,長谷川待子,,Hasegawa Machiko
,城健三朗,,Jô Kenzaburô
,,,
,石黒達也,,Ishiguro Tatsuya
,片岡彦三郎,,Kataoka Hikosaburô
,丹羽又三郎,,Niwa Matasaburô
,北城寿太郎,,Hôjô Jutarô
,浅野進治郎,,Asano Shinjirô
,伊達三郎,,Date Saburô
,天王寺虎之助,,Ten’nôji Toranosuke
,植村謙二郎,,Uemura Kenjirô
,,,
,水原浩一,,Mizuhara Kôichi
,林寛,,Hayashi Hiroshi
,寺島雄作,,Terashima Yûsaku
,高倉一郎,,Takakura Ichirô
,舟木洋一,,Funaki Yôichi
,堀北幸夫,,Horikita Yukio
,岩田正,,Iwata Tadashi
,菊野昌代士,,Kikuno Masayoshi
,西岡弘善,,Nishioka Hiroyoshi
,志賀明,,Shiga Akira
,藤川準,,Fujikawa Jun
,,,
,三木正八郎,,Miki Shôhachirô
,森宏之,,Mori Hiroyuki
,滝のぼる,,Taki Noboru
,国枝勢津子,,Kunieda Setsuko
,美吉かほる,,Miyoshi Kahoru
,小林加奈枝,,Kobayashi Kanae
,千石泰三,,Sengoku Taizô
,越川一,,Koshikawa Ichi
,滝川潔,,Takigawa Kiyoshi
,森田健二,,Morita Kenji
,細谷新吾,,Hosoya Shingo
,,,
監督,池広一夫,Director,Ikehiro Kazuo