企画,久保寺生郎,Planning,Kubodera Ikuo
原作,子母沢寛,Original Work,Shimozawa Kan
脚本,直居欽哉,Screenplay,Naoi Kin’ya
,,,
撮影,宮川一夫,Photography,Miyagawa Kazuo
録音,大谷厳,Recording,Ôtani Iwao
照明,中岡源権,Lighting,Nakaoka Gengon
美術,加藤茂,Art,Katô Shigeru
音楽,鏑木創,Music,Kaburagi Hajime
,,,
編集,菅沼完二,Editing,Suganuma Kanji
擬斗,楠本栄一,Action,Kusumoto Eiichi
音響効果,倉嶋暢,Sound Effects,Kurashima Tôru
助監督,中西忠三,Assistant Director,Nakanishi Chûzô
製作主任,吉岡徹,Production Manager,Yoshioka Tôru
主題歌,大映レコード,Theme Song,Daiei Records
歌,勝新太郎,Vocals,Katsu Shintarô
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,,,
,野川由美子,,Nogawa Yumiko
,三木本賀代,,Mikimoto Kayo
,待田京介,,Machida Kyôsuke
,,,
,志村喬,,Shimura Takashi
,井上昭文,,Inoue Shôbun
,小松方正,,Komatsu Hôsei
,北城寿太郎,,Hôjô Jutarô
,千波丈太郎,,Senba Jôtarô
,土方弘,,Hijikata Hiroshi
,,,
,水原浩一,,Mizuhara Kôichi
,原聖四郎,,Hara Seishirô
,南部彰三,,Nanbu Shôzô
,山本一郎,,Yamamoto Ichirô
,舟橋竜次,,Funahashi Ryûji
,堀北幸夫,,Horikita Yukio
,越川一,,Koshikawa Ichi
,,,
,石原須磨男,,Ishihara Sumao
,春日清,,Kasuga Kiyoshi
,芝田總二,,Shibata Sôji
,近江輝子,,Ômi Teruko
,勝村淳,,Katsumura Jun
,薮内武司,,Yabuuchi Takeshi
,西岡弘善,,Nishioka Hiroyoshi
,山岡鋭二郎,,Yamaoka Eijirô
,,,
,菊野昌代士,,Kikuno Masayoshi
,暁新二郎,,Akatsuki Shinjirô
,芦川進,,Ashikawa Susumu
,藤春保,,Fuji Haruyasu
,織田利枝子,,Oda Rieko
,水町由香里,,Mizumachi Yukari
,谷口和子,,Taniguchi Kazuko
,長友宗之,,Nagatomo Muneyuki
,,,
監督,安田公義,Director,Yasuda Kimiyoshi