,勝プロダクション第一回作品,,Katsu Production’s First Work
,,,
製作,永田雅一,Producer,Nagata Masaichi
,,,
原作,子母沢寛,Original Work,Shimozawa Kan
企画,伊藤武郎,Planning,Itô Takeo
,宮古とく子,,Miyako Tokuko
脚本,中島丈博,Screenplay,Nakajima Takehiro
,松本孝二,,Matsumoto Kôji
,猿若清方,,Saruwaka Kiyokata
,,,
撮影,宮川一夫,Photography,Miyagawa Kazuo
音楽,池野成,Music,Ikeno Sei
録音,林土太郎,Recording,Hayashi Tsuchitarô
照明,中岡源権,Lighting,Nakaoka Gengon
美術,西岡善信,Art,Nishioka Yoshinobu
,,,
編集,菅沼完二,Editing,Suganuma Kanji
擬斗,楠本栄一,Action,Kusumoto Eiichi
助監督,土井茂,Assistant Director,Doi Shigeru
製作主任,西沢鋭治,Production Manager,Nishizawa Eiji
主題歌,大映レコード,Theme Song,Daiei Records
歌,勝新太郎,Vocals,Katsu Shintarô
現像,東洋現像所,Developing,Toyo Laboratory
,,,
出演者,,Performers,
,,,
,勝新太郎,,Katsu Shintarô
,,,
,三國連太郎,,Mikuni Rentarô
,西村晃,,Nishimura Kô
,浜田ゆう子,,Hamada Yûko
,,,
,石山健二郎,,Ishiyama Kenjirô
,細川俊之,,Hosokawa Toshiyuki
,藤岡琢也,,Fujioka Takuya
,鈴木瑞穂,,Suzuki Mizuho
,遠藤辰雄,,Endô Tatsuo
,三木本賀代,,Mikimoto Kayo
,松下達夫,,Matsushita Tatsuo
,,,
,玉川良一,,Tamagawa Ryôichi
,古川緑九,,Furukawa Midorikyû
,鳳啓助,,Ôtori Keisuke
,京唄子,,Kyô Utako
,酒井修,,Sakai Osamu
,早川雄三,,Hayakawa Yûzô
,守田学,,Morita Gaku
,矢野宣,,Yano Sen
,,,
,水原浩一,,Mizuhara Kôichi
,伊達三郎,,Date Saburô
,木村玄,,Kimura Gen
,水島眞哉,,Mizushima Shin’ya
,毛利郁子,,Môri Ikuko
,沖時男,,Oki Tokio
,藤川準,,Fujikawa Jun
,小林加奈枝,,Kobayashi Kanae
,,,
,石原須磨男,,Ishihara Sumao
,北野拓也,,Kitano Takuya
,勝村淳,,Katsumura Jun
,岡島艶子,,Okajima Tsuyako
,西岡弘善,,Nishioka Hiroyoshi
,薮内武司,,Yabuuchi Takeshi
,谷口和子,,Taniguchi Kazuko
,小柳圭子,,Koyanagi Keiko
,,,
,志賀明,,Shiga Akira
,菊野昌代士,,Kikuno Masayoshi
,福井隆次,,Fukui Ryûji
,長谷川茂,,Hasegawa Shigeru
,久本延子,,Hisamoto Nobuko
,滝のぼる,,Taki Noboru
,三星トミ,,Mitsuboshi Tomi
,堀左知子,,Hori Sachiko
,高寺正,,Takadera Masa
,都賀静子,,Tsuda Shizuko
,,,
監督,山本薩夫,Director,Yamamoto Satsuo