sawamura-sonosuke,1918,7,1,,1978,11,3,
yamamura-so,1910,2,24,,2000,5,26,
ueda-kichijiro,1904,3,30,,1972,11,3,
ai-kyoko,1943,3,2,,,,,
hoshi-yuriko,1943,12,6,,2018,5,16,
furness-george-a,1896,,,,1985,4,2,
nakamura-ganjiro,1902,2,17,,1983,4,13,
shiozawa-toki,1928,4,1,,2007,5,17,
uemura-kenjiro,1914,1,3,,1979,4,3,
kubo-akira,1936,12,1,,,,,
katsube-yoshio,1934,3,19,,,,,
nomura-kozo,1931,12,22,,,,,
sawamura-ikio,1905,9,4,,1975,9,20,
hinata-kazuo,1918,7,21,,,,,true
sada-yutaka,1911,3,30,,2017,,,
wakabayashi-akiko,1939,12,13,,,,,
onda-seijiro,,,,,,,,
sahara-kenji,1932,5,14,,,,,
hama-mie,1943,11,20,,,,,
maruyama-kenichiro,1938,7,12,,,,,
miki-norihei,1924,4,11,,1999,1,25,
tajima-yoshibumi,1918,8,4,,2009,9,10,
kondo-keiko,1943,3,18,,,,,
sekita-hiroshi,1932,11,17,,,,,
nakakita-chieko,1926,5,21,,2005,9,13,
mukai-junichiro,1927,7,4,,,,,
tazaki-jun,1913,8,28,,1985,10,18,
gondo-yukihiko,,,,,,,,
kawazu-seizaburo,1908,8,30,,1983,2,20,
hughes-andrew,1908,,,,,,,true
kusakawa-naoya,1929,6,11,,,,,
maeda-beverly,1948,8,8,,,,,
sato-makoto,1934,3,18,,2012,12,6,
shimura-takashi,1905,3,12,,1982,2,11,
ito-hisaya,1924,8,7,,2005,,,
tabu-kenzo,1914,8,13,,1993,11,19,
echigo-ken,1929,12,2,,,,,true
hodgson-william-hope,1877,11,15,,1918,4,,
nakamaru-tadao,1933,3,31,,2009,4,23,
uno-koji,1924,4,21,,2003,7,28,
arishima-ichiro,1916,3,1,,1987,7,20,
kagawa-kyoko,1931,12,5,,,,,
tezuka-katsumi,1912,8,21,,,,,true
murakami-fuyuki,1911,12,23,,2007,4,5,
nakayama-yutaka,1939,9,23,,,,,
saijo-yasuhiko,1939,2,20,,,,,
sunazuka-hideo,1932,8,7,,,,,
hasegawa-hiroshi,1928,1,3,,,,,
rankin-arthur,1924,7,19,,2014,1,30,
nakamura-nobuo,1908,9,14,,1991,7,5,
mifune-toshiro,1920,4,1,,1997,12,24,
sanjo-miki,1928,8,25,,2015,4,9,
okabe-tadashi,1923,5,11,,,,,true
kato-shigeo,1925,6,16,,2020,6,14,
shibuya-hideo,1928,2,20,,,,,
taniguchi-senkichi,1912,2,19,,2007,10,29,
tani-akira,1910,9,22,,1966,8,11,
tsutsumi-yasuhisa,1922,3,30,,,,,true
miller-linda,1947,12,26,,,,,
inagaki-hiroshi,1905,12,30,,1980,5,21,
hirata-akihiko,1927,12,16,,1984,7,25,
ishida-shigeki,1924,3,17,,1997,,,
omae-wataru,1934,2,14,,2017,12,24,
yanagiya-kingoro,1901,2,28,,1972,10,22,
kurosawa-toshio,1944,2,4,,,,,
mishima-ko,1927,5,20,,,,,
dunham-robert,1931,7,6,,2001,8,6,
matsubayashi-shue,1920,7,7,,2009,8,15,
sekizawa-shinichi,1920,6,20,,1992,11,19,
asahiyo-taro,1929,11,13,,1988,10,23,
takashima-tadao,1930,7,27,,2019,6,26,
tsuruta-koji,1924,12,6,,1987,6,16,
ubukata-soji,1908,3,29,,,,,true
ozawa-eitaro,1909,3,27,,1988,4,23,
tsukasa-yoko,1934,8,20,,,,,
hirose-shoichi,1918,6,23,,,,,true
funato-jun,1938,11,26,,,,,
ogata-rinsaku,1925,1,6,,,,,
mizuno-kumi,1937,1,1,,,,,
tsuchiya-shiro,1901,1,5,,,,,true
tanaka-tomoyuki,1910,4,26,,1997,4,2,
takarada-akira,1934,4,29,,,,,
sakai-frankie,1929,2,13,,1996,6,10,
sato-masaru,1928,5,29,,1999,12,5,
kosugi-yoshio,1903,9,15,,1968,3,12,
kobayashi-keiju,1923,11,23,,2010,9,16,
suzuki-kazuo,1937,1,18,,,,,true
miyazaki-hayao,1941,1,15,,,,,
fukuda-jun,1923,2,17,,2000,12,3,
ito-jerry,1927,7,12,,2007,7,8,
okawa-henry,1905,9,9,,1971,5,27,
uehara-misa,1937,3,26,,2003,,,
shinohara-masaki,1926,12,28,,2018,11,1,
mutsumi-goro,1934,9,11,,,,,
koizumi-hiroshi,1926,8,12,,2015,5,31,
ito-emi,1941,4,1,,2012,6,15,
sera-akira,1912,10,14,,,,,true
shimizu-gen,1907,1,1,,1972,12,20,
sakakida-keiji,1900,1,15,,,,,true
ito-yumi,1941,4,1,,2016,5,18,
honda-ishiro,1911,5,7,,1993,2,28,
yachigusa-kaoru,1931,1,6,,2019,10,24,
iketani-saburo,1923,8,19,,2002,10,19,
imaizumi-ren,,,,,,,,
ito-minoru,1928,3,13,,,,,
nakano-teruyoshi,1935,10,9,,,,,
shimozawa-kan,1892,2,1,,1968,7,19,
fujiyama-yoko,1941,12,17,,,,,
yusuf-osman,1920,5,23,,1982,8,29,
kimura-takeshi,1911,2,4,,1987,5,3,
sugimura-haruko,1906,1,6,,1997,4,4,
kawai-kenji,1957,4,23,,,,,
yamada-keisuke,,,,,,,,
kusama-akio,1913,10,7,,,,,true
yamamoto-ren,1930,5,12,,2003,6,17,
chiaki-minoru,1917,4,28,,1999,11,1,
kodo-kuninori,1887,1,29,,1960,1,22,
kayama-shigeru,1904,7,1,,1975,2,7,
little-man-machan,1921,,,,2000,,,
kato-haruya,1928,6,22,,2015,,,
oda-motoyoshi,1909,7,21,,1973,10,21,
matsumura-tatsuo,1914,12,18,,2005,6,18,
otomo-shin,1919,4,13,,,,,true
okami-jojiro,1918,10,31,,2003,12,11,
ifukube-akira,1914,5,31,,2006,2,8,
sata-keiko,1941,6,9,,,,,
sawai-keiko,1945,1,2,,,,,
fujiki-yu,1931,3,2,,2005,12,19,
reason-rhodes,1930,4,19,,2014,12,26,
kobayashi-yukiko,1946,10,6,,,,,
kouchi-momoko,1932,3,7,,1998,11,5,
tsubono-kamayuki,1919,7,26,,,,,true
otowa-nobuko,1924,10,1,,1993,12,22,
kuno-seishiro,1940,4,18,,,,,
natsuki-junpei,1918,6,15,,2010,2,21,
tamblyn-russ,1934,12,30,,,,,
mihashi-tatsuya,1923,11,2,,2004,5,15,
uehara-ken,1909,11,7,,1991,11,23,
oka-yutaka,1925,7,11,,2000,7,27,
sonoda-ayumi,1933,9,23,,,,,
wakamatsu-akira,1933,6,12,,,,,
tanaka-kinuyo,1909,11,29,,1977,3,21,
onoue-katsuro,1960,6,4,,,,,
tachikawa-hiroshi,1931,5,7,,,,,
koseki-yuji,1909,8,11,,1989,8,18,
arikawa-sadamasa,1925,6,17,,2005,9,22,
kurosawa-akira,1910,3,23,,1998,9,6,
kurobe-susumu,1939,10,22,,,,,
tsuda-mitsuo,1910,9,13,,,,,true
anzai-kyoko,1934,9,27,,2002,12,28,
tsuchiya-yoshio,1927,5,18,,2017,2,2,
kato-daisuke,1911,2,8,,1975,7,31,
amamoto-hideyo,1926,1,2,,2003,3,23,
sasaki-takamaru,1898,1,30,,1986,12,28,
takada-minoru,1899,12,20,,1977,12,27,
fujimoto-sanezumi,1910,7,15,,1979,5,2,
dan-ikuma,1924,4,17,,2001,5,17,
tsuburaya-eiji,1901,7,7,,1970,1,25,
kusabue-mitsuko,1933,10,22,,,,,
kirino-nadao,1932,11,24,,,,,
kamiya-makoto,1965,10,6,,,,,
sakai-sachio,1925,9,8,,1998,3,11,
kobayashi-tetsuko,1941,3,12,,1994,12,9,
yamada-minosuke,1893,11,13,,1968,8,3,
nakamura-tetsu,1908,9,19,,1992,8,3,
conway-harold,1911,5,24,,1996,,,
togin-chotaro,1941,11,18,,,,,
hidari-bokuzen,1894,2,20,,1971,5,26,
inoue-yasuyuki,1922,11,26,,2012,2,19,
wyatt-obel,,,,,,,,
ibuki-toru,1940,1,28,,,,,
matsuo-fumindo,1916,8,6,,,,,true
adams-nick,1931,7,10,,1968,2,7,
fujita-susumu,1912,1,8,,1990,3,23,
sato-naoki,1970,5,2,,,,,
furuhata-koji,,,,,,,,
sakamoto-haruya,1928,8,23,,,,,
senda-koreya,1904,7,15,,1994,12,21,
higuchi-shinji,1965,9,22,,,,,
kumagai-takuzo,1906,11,3,,,,,true
tomita-nakajiro,1911,11,1,,1990,11,15,
tachibana-masaaki,1925,3,18,,,,,true
nihei-masanari,1940,12,4,,2021,8,21,
hara-setsuko,1920,6,17,,2015,9,5,
oshikawa-shunro,1876,3,21,,1914,11,16,
yashiro-miki,1943,,,,,,,
shirakawa-yumi,1936,10,21,,2016,6,14,
koizumi-hajime,,,,,,,,
nakajima-haruo,1929,1,1,,2017,8,7,
matsumoto-somesho,1903,3,20,,1985,8,12,
miyauchi-kunio,1932,2,16,,2006,11,27,
tono-eijiro,1907,9,17,,1994,9,8,
yamazaki-takashi,1964,6,12,,,,,
ikebe-ryo,1918,2,11,,2010,10,8,
enomoto-kenichi,1904,10,11,,1970,1,7,
omura-senkichi,1922,4,27,,1991,11,24,
oki-shoji,1936,9,27,,2009,11,20,
wakayama-setsuko,1929,6,7,,1985,5,9,
fujiwara-kamatari,1905,1,15,,1985,12,21,
natsuki-yosuke,1936,2,27,,2018,1,14,
suzuki-haruo,1926,10,4,,,,,
ryu-chishu,1904,5,13,,1993,3,16,
kita-takeo,1901,1,9,,1979,9,1,